COMENTARIO,CLASE,ETITA,RESUMEN,
 MEXICANOS NO DEJARAN BEBER REFRESCOS PESE AUMENTO  HABRA PROXIMO ANO PERO SI ESTAN CAMBIANDO SUS GUSTOS OPCIONES LIGHT SEGUN ESTUDIO DE,POSITIVO,0,3504,POSITIVO
SEMAFORO ALERTA ENCUENTRA EN,POSITIVO,0,1363,NEGATIVO
RUTH RODRIGUEZ ESCRIBE CISMA SALUD LLAMADO MOHAR,POSITIVO,0,5133,NEUTRO
MARTIN ESPINOSA ESCRIBE FUERZA  ESTADOS,POSITIVO,0
REPORTAN DESAPARICION MAESTRO UAM IZTAPALAPA AYUDANOS COMPARTIR,POSITIVO,0
TERMINA TU DIA BIEN INFORMADO POR,POSITIVO,0
YOUTUBER ENCONTRO NUEVAMENTE AMOR I,POSITIVO,0
A DIEZ MESES  INICIO GOBIERNO PRESIDENTE AFIRMO  VAMOS BIEN,POSITIVO,0
CUATRO MUJERES INDIGENAS CHIAPAS GRADUARON INGENIERAS INDIA NINGUNA ELLAS HABIA SALIDO COMUNIDAD HABLAN POCO ESPANOL  CONOCIMIENTOS  ADQUIRIERON PODRAN AYUDAR  HABITANTES SUS LUGARES ORIGEN,POSITIVO,0
PRESIDENTE ANDRES MANUAFIRMA  ESCUELAS DPAIS RECIBIRAN RECURSOS FORMA DIRECTA PARA MEJORAR  PLANTELES,POSITIVO,0
CONOCERLO PUEDE HACER GRAN DIFERENCIA,POSITIVO,0
PRESIDENTE ANDRES MANUINFORMA  APOYARA PRODUCTORES CAMPESINOS ANUNCIA INICIO DPROGRAMA SEMBRANDO VIDA,POSITIVO,0
PRESIDENTE ANDRES MANUDICE  CONTRA VIOLENCIA E INSEGURIDAD ALGO  AYUDA MUCHO  MANTENGAN UNIDAS FAMILIAS,POSITIVO,0
ES MUY BUENO PARA SALUD,POSITIVO,0
SE HA GANADO REPUDIO  MEXICANOS,POSITIVO,0
PRESIDENTE ANDRES MANUREITERA  FORMULA ACABAR CORRUPCION E IMPUNIDAD ESO DEPENDE  LOGREMOS RENACIMIENTO MEXICO,POSITIVO,0
PRESIDENTE ANDRES MANUDICE  DIEZ MESES  INICIO GOBIERNO VAMOS BIEN VA AVANZANDO,POSITIVO,0
PRESIDENTE ANDRES MANUPROMETE BASIFICAR TODOS  TRABAJADORES DSECTOR SALUD INICIARA MIL,POSITIVO,0
TIENE GRAN TRAYECTORIA,POSITIVO,0
VAMOS HACER TODO LO  PODAMOS DLADO MEXICANO PARA FACILITAR RATIFICACION,POSITIVO,0
UN GRAN GESTO,POSITIVO,0
TE DECIMOS TRAMITARLA,POSITIVO,0
HIJOS OFRECEN CONFERENCIA PRENSA SIGUEN SIN PODER VER CUERPO PAPA ESPERAN REUNIRSE HERMANA MENOR ESTA NOCHE VIA POR,POSITIVO,0
